condition,signal,pc1,pc2,pc3
uncoupled,3,10.864157,-4.374743,17.94999
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.119637236,-0.5719304,0.11945527
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.2219405,0.58153886,0.066576056
uncoupled,3,1.1554497,-0.15218459,2.0092316
uncoupled,3,2.934373,-4.0380893,3.5185459
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,0.53453535,0.33346674,-0.07598981
uncoupled,3,-0.30114138,0.96571785,1.493846
uncoupled,3,-1.4478613,-0.8791221,-2.4293687
uncoupled,3,0.273676,-0.32636502,-0.9921262
uncoupled,3,2.0660667,-0.16109125,2.1833782
uncoupled,3,2.0505998,-1.3385338,0.5798084
uncoupled,3,-0.5873992,0.24427228,-0.3548398
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,1.9375411,-0.33900583,0.8462573
uncoupled,3,8.316088,5.059746,4.9107666
uncoupled,3,-1.269154,0.08291714,-0.6929236
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,0.7952022,0.60718155,3.6861346
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,1.9583992,-0.39902434,1.1266776
uncoupled,3,0.33402547,0.10332096,0.10412257
uncoupled,3,-0.34116003,0.090083465,-0.1164256
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.22647712,0.2892032,0.6761227
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,10.785023,-5.1077585,0.6512117
uncoupled,3,-0.3590688,0.12136404,-0.23740648
uncoupled,3,-0.17807937,-0.4814108,0.33390152
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,0.6386997,1.570279,0.18834983
uncoupled,3,1.725501,-1.6138604,-2.2637997
uncoupled,3,2.0654519,-11.187505,9.061699
uncoupled,3,-0.3470946,0.6314332,-0.11485893
uncoupled,3,1.103946,-0.61929977,0.28116667
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.90931046,-1.1003764,1.700528
uncoupled,3,-0.04285284,0.24594726,-0.12462365
uncoupled,3,-0.09124806,0.13460271,-0.36556238
uncoupled,3,0.4620065,0.50054556,2.1027575
uncoupled,3,-0.38062936,0.8062306,0.19421479
uncoupled,3,1.1881374,-0.22614655,1.8364179
uncoupled,3,-1.2432172,-0.94272584,-0.26077384
uncoupled,3,0.069774546,0.74235773,0.91957676
uncoupled,3,-0.06687343,0.2390956,0.9338786
uncoupled,3,1.1910077,-0.27572298,1.4760857
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,1.997549,2.696625,1.4571006
uncoupled,3,3.069114,-1.3720124,5.6020455
uncoupled,3,0.95119494,-1.8921849,0.1618147
uncoupled,3,-0.3883437,-0.0703268,0.152737
uncoupled,3,6.7985306,1.4309045,13.225957
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,5.3420835,2.2948382,0.37557986
uncoupled,3,-0.656413,1.0661207,-0.51880133
uncoupled,3,-0.28170907,-0.35193905,-0.27260172
uncoupled,3,3.3197207,-0.54735464,3.2855008
uncoupled,3,-0.1027806,0.55339384,2.4609997
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.3862165,-0.056987908,-0.83965796
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.8605201,0.4775672,-0.24127077
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,0.044069257,-0.5157786,0.11201208
uncoupled,3,-0.39634737,-0.5216219,-0.5726273
uncoupled,3,-0.35195813,0.689963,-0.24760357
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,1.5868149,-0.79808366,0.686978
uncoupled,3,1.0260208,-0.78427696,-0.52808285
uncoupled,3,0.008284557,0.026623642,0.84532034
uncoupled,3,0.24928011,0.7257698,-0.7152367
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,0.5001967,-0.97213465,0.3658413
uncoupled,3,-0.333712,0.1828916,-0.09400444
uncoupled,3,-0.07301202,-1.3368604,0.5137404
uncoupled,3,1.5363529,0.24628212,-0.30752742
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-2.526318,-2.8169878,13.853493
uncoupled,3,3.2409194,0.28038487,1.4483339
uncoupled,3,-0.37122217,-0.0064914734,0.020966277
uncoupled,3,-0.5077782,0.11594184,-0.39758036
uncoupled,3,-0.6144107,-0.2893445,-0.5535188
uncoupled,3,0.40211782,-1.4115707,-0.0049678003
uncoupled,3,0.30946317,-0.083393,0.60720813
uncoupled,3,0.023953717,0.34450674,-0.08397982
uncoupled,3,-6.240473,1.7962563,-0.27445418
uncoupled,3,-1.2938298,-0.5636841,0.74212736
uncoupled,3,-0.36360076,-0.3548014,0.3192057
uncoupled,4,7.418585,0.9823746,0.26597813
uncoupled,4,-0.08641484,0.18769573,-1.2994713
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.7418396,1.5288545,0.25606552
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,2.101081,0.1251978,0.6664702
uncoupled,4,5.7897415,0.8559239,2.3074737
uncoupled,4,1.1705005,0.80042845,-0.8873283
uncoupled,4,-0.41392905,-0.024790743,0.2945615
uncoupled,4,0.24168451,0.5114884,-1.0184568
uncoupled,4,0.05779697,-0.33269924,1.5275939
uncoupled,4,3.3583033,-3.2297392,-7.021671
uncoupled,4,1.5858077,-0.90569824,-0.07608877
uncoupled,4,1.7943352,0.13834926,1.4351127
uncoupled,4,-5.708103,12.2632065,-0.07888318
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,1.7293937,0.8315492,-0.9246688
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,0.47821465,0.7203171,1.8817931
uncoupled,4,0.88341516,1.4156044,2.955762
uncoupled,4,2.2900481,2.5041022,-0.76114994
uncoupled,4,-0.3638946,0.51545477,-0.5474323
uncoupled,4,-1.0143951,0.09025097,-1.1980428
uncoupled,4,0.9065193,0.368842,-0.043443345
uncoupled,4,0.697577,-0.09002512,0.25061452
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,6.804281,5.197473,-4.385322
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,2.5821748,-0.10797973,-0.39710554
uncoupled,4,1.2920557,2.1153083,-0.006438841
uncoupled,4,-1.2740998,0.15118895,-0.5057512
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.94979537,0.19472088,-0.25374115
uncoupled,4,8.448123,-6.373881,1.4481002
uncoupled,4,-2.3725896,-0.5380715,-2.9253724
uncoupled,4,0.25736758,0.38403824,1.3380429
uncoupled,4,0.30885127,0.7265662,0.3058461
uncoupled,4,-0.48297238,1.0299162,-0.8380786
uncoupled,4,0.91779006,1.0130502,-0.4725957
